year,Singer(s),Singer,Lyricist,Composer,Lyrics,Music,Artist(s)
1932,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. C. Dey,,,,,
1933,,K. C. Dey,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. L. Saigal,,,,,
1933,,K. L. Saigal,,,,,
1933,,Utpala Sen,,,,,
1933,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,Shanta Apte,,,,,
1934,,Shanta Apte,,,,,
1934,,Shanta Apte,,,,,
1934,,Shanta Apte,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,Vasant Desai,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,K. L. Saigal,,,,,
1934,,"Saigal, Uma Sashi",,,,,
1934,,"Saigal, Pahadi Sanyal, Uma Shashi",,,,,
1934,,K. L. Saigal,,,,,
1934,,Uma Sashi,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,,,,,,
1934,,Kamla,,,,,
1934,,K. C. Dey,,,,,
1934,,Lalita Devulkar,,,,,
1934,,K. C. Dey,,,,,
1934,,"Jal Merchant,",,,,,
1934,,Lalita Devulkar,,,,,
1934,,Kamala Devi,,,,,
